source_id,ra,dec,ra_error,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ruwe,p_pm,pm_method,r_proj_arcmin,p_spatial,p_cmd,membership_prob,is_member,dist_pc,dist_pc_err
4418919708567119488,229.03095862183847,-0.13119451453108436,0.79237837,0.6386596,-1.3601633537851714,0.83289766,-1.4327450366877277,1.1786964,-2.7650710381979233,0.84329945,20.478313,20.775135,20.058945,0.71619034,1.0593889,0.5434222989772205,window,1.295226599790771,0.8948241562750742,0.949125337487524,0.7684099228686472,True,,
4418919712861244416,229.03467105935528,-0.12725491012866003,0.069150284,0.06087947,-0.11828335635161297,0.07882854,-2.8181604557396738,0.09319663,-2.6562443424146975,0.07518009,17.083298,17.581512,16.428219,1.1532936,1.0239811,0.8120969706927283,window,1.212201294292718,0.897915966639984,0.718526460803847,0.860185882432831,True,,
4418919811644676480,229.0766125674007,-0.10970014829259424,0.54133874,0.45761594,-1.278806971527852,0.5949014,-2.4997421611721715,0.76183707,-2.4351013898384135,0.61402696,20.137882,20.533323,19.779726,0.75359726,1.0579437,0.898701744547029,window,3.2847263509403333,0.758949521144847,0.979407996744194,0.9461404396323849,True,,
4418919983444980352,229.00772220692204,-0.1176074831097528,0.50245625,0.43840748,0.8170505652108492,0.6006544,-4.96943688887111,0.6876124,-3.450080932987243,0.5687234,20.007288,20.283169,19.562578,0.7205906,1.0493135,0.0,window,0.9238809805224244,0.9070315404904035,0.9871285724095922,0.0,False,,
4418920017803108096,229.0231207513176,-0.10825562269915798,0.57429874,0.5289763,1.41182771946372,0.6752858,-1.6682715094395069,0.8036728,-3.4012682597589605,0.7712979,20.38578,20.484192,19.789337,0.69485474,0.95902306,0.2668913566958821,window,0.21361253605992775,0.9189042502598493,0.9856614710589039,0.537382064791608,True,,
4418920017803127040,229.01818655753405,-0.09678047535748867,0.6232061,0.52502376,-0.0767423284985032,0.7105778,-2.192344533950561,0.86417454,-2.378283028924685,0.69841355,20.341166,20.36356,19.796755,0.5668049,0.98543817,0.7654102916226476,window,0.9166615993603889,0.9072276430983444,0.9052552205901547,0.8876068036083851,True,,
4418920670638214784,229.0760205382071,-0.05501390502470369,0.5556571,0.51744825,-0.46099396623526023,0.6167313,0.29386655835903813,0.81332296,0.4416266180615614,0.7290791,20.31859,20.222124,19.959986,0.26213837,1.0383419,0.0,window,4.698045090974667,0.6040488301514062,0.17416734494702427,0.0,False,,
4418920979880789120,229.0279782384362,-0.06440151652049007,0.2953769,0.25957915,0.227530456818037,0.3333654,-11.499015489240133,0.38023528,-0.2608768083329316,0.3325703,19.404655,19.951607,18.899265,1.0523415,0.9706063,0.0,window,2.855295092686262,0.7978768996475343,0.4255555817518434,0.0,False,,
4418921220394032512,228.98727599096668,-0.05321174807670086,0.17253782,0.14360607,-0.2276396366932917,0.1973311,-2.518934111027143,0.23028463,-2.438862358148201,0.17311162,18.482918,18.976427,17.935635,1.0407925,0.9600039,0.39360434111260184,window,4.072937453199579,0.676546757336578,0.7235954462040832,0.5170777625671789,True,,
4418921907588794368,229.11901577735742,-0.05654452164899852,0.08816432,0.07943138,0.22115448363361806,0.10342846,-8.125308345596753,0.112524845,-1.1162639247904698,0.09718781,17.62447,17.852346,17.246876,0.60547066,0.9425702,0.0,window,6.69814592667495,0.36770047338010425,0.9004896541113866,0.0,False,,
4418924140972103680,228.95509513701913,-0.05539694469315142,0.453047,0.3820041,-0.5567176370386947,0.50207174,-2.359384840284077,0.63282645,-3.0153602623205344,0.53954685,19.999315,20.413958,19.521072,0.8928852,0.94845676,0.6810307127193315,window,5.238125844566492,0.5389371077480324,0.67519267652224,0.7106128131208094,True,,
4418931219078182144,228.8352849327747,-0.016880153574952553,0.3734207,0.36261937,1.2386698025827747,0.4629853,-24.591916133518758,0.49903852,-1.9478867274224094,0.4586467,19.813847,20.89512,18.733936,2.1611843,1.0666499,0.0,window,12.556625414501099,0.024633280356267103,4.69884346482928e-15,0.0,False,,
4418931326452932864,228.84995545897772,-0.01062049419540206,1.1292014,0.7872934,-1.4543491736418392,1.2177165,0.598565586015273,1.3202322,-4.813430504270003,1.130431,20.380163,20.244738,19.642778,0.6019592,1.1259304,0.0,window,11.964197633430405,0.03666183849721766,0.9718398256519097,0.0,False,,
4418925068685178368,228.9848378906707,0.02293107574588214,0.27260557,0.23165786,0.025618910103716204,0.3072761,-2.8773440054222865,0.36152846,-2.3922818858611623,0.29827338,19.354145,19.853666,18.77443,1.079237,0.9530563,0.6549437499861729,window,8.37257058978136,0.20875309228290423,0.38026471581358734,0.5515610064419972,True,,
4418925652800742656,228.90621444930164,0.03208741408176387,0.2569385,0.24950324,-0.11530820120089699,0.3309496,-14.906407014319107,0.3516983,3.9728138887057587,0.33171847,19.3204,20.183035,18.379913,1.8031216,1.0230302,0.0,window,11.068198037396126,0.06179907276766221,3.268580288044347e-05,0.0,False,,
4418928401579936256,229.03777533951023,0.1390737196280162,0.12592627,0.12274799,-0.08023387164110872,0.15322761,-1.7011650881855256,0.16188347,-6.756287549682442,0.14802487,18.269972,18.683876,17.683842,1.0000343,0.9898428,0.0,window,15.07055476676285,0.01,0.8248463162860273,0.0,False,,
