source_id,ra,dec,radial_velocity,radial_velocity_error
5921750931777537408,265.2470805100797,-53.679363646536885,15.429778,9.814788
5921751030547464960,265.23904306449197,-53.66323870090678,24.234758,0.18875499
5921752439297483136,265.3135957201133,-53.58693544563926,23.142698,7.47947
5921752581051279616,265.36004559614764,-53.57962191102684,15.43571,4.6041007
5921752851613586560,265.3218396951928,-53.560436800515824,-86.65199,1.7522975
5921753405685364864,265.1918431060247,-53.563388109950125,21.047457,4.0887804
5921753504449513600,265.18895721254944,-53.54711973012703,28.31013,8.115546
5921754195939203072,265.13413062631327,-53.65281559316217,32.609512,7.3586135
5921754951873734912,265.09306917657267,-53.57786253437532,-64.56824,3.677366
5921755501628884992,264.9997613366331,-53.58876204728239,15.280545,0.9493835
5921756498061828864,265.16727660245533,-53.51643644512756,19.773098,0.34675378
5921758628365038464,264.89228267318384,-53.73535322307086,-88.17992,5.5011563
5921758868882760832,264.84198792186925,-53.71707080376753,-15.141388,6.840626
5921759178120876416,264.8949022305173,-53.68781721159727,18.07178,9.218743
5921762369259773952,264.82506589546233,-53.56449628033398,8.786219,8.320009
5921767660659513216,264.8541522664629,-53.5191062173756,-70.849754,3.1537607
5921776667230264576,265.3956826851843,-53.505884874764064,-45.04443,1.9995527
5921777384467888128,265.2861871151018,-53.471194962322194,-84.72596,1.1600176
5921369843610200064,265.12334532799224,-53.893312039224064,-82.8437,1.4775256
5921384416450128640,264.74168530885095,-53.732832784146716,-121.2042,4.7113824
5921696265437297920,265.4238923624302,-53.85610700507312,12.2690115,6.367304
5921696746473644928,265.3856766270793,-53.814294137814265,9.679446,9.272816
5921704649213861888,265.4878396809574,-53.70197182159329,-208.35323,10.468271
5921705473847325824,265.45207352823667,-53.63771298355721,9.129318,3.376445
5921728048196679552,265.572422594145,-53.62789707557996,-9.899243,1.6477807
5921728082556433152,265.54282819711995,-53.62041435189426,51.119747,5.729215
5921742960325346304,265.1710052707415,-53.79905783498478,41.889896,8.877858
5921742994683746304,265.19055398909467,-53.796055570168754,18.7382,0.5917879
5921744708355615616,265.17989251071765,-53.74590567834367,20.389715,0.77896863
5921745120678593792,265.1841724654406,-53.71997429194226,-23.533203,1.7533033
5921745296786342912,265.1797053149083,-53.68565043753318,22.301453,2.3286984
5921747598888813184,265.10586823689323,-53.73810130291608,23.059015,10.995115
5921747732018676096,265.11068965484765,-53.7172712582682,-53.023537,12.85698
5921748144335708544,265.1330337957254,-53.69833805830407,19.025944,3.3064194
5921748419207349760,265.06361754444265,-53.67092314806653,18.730509,0.3663549
5921748904559085056,264.96460930412377,-53.67740660108309,-58.46544,1.500678
5921749694833114368,264.9558301385227,-53.5825035280646,-43.740067,3.0897574
5921749900991924992,265.38604882430224,-53.716865668036434,-38.016968,4.2197976
5921750072791096704,265.30121752348856,-53.71627875052569,-19.636448,19.862455
5921750171554010112,265.331493153797,-53.699672102357766,16.797794,2.7190745
5921750725614964096,265.31628628909,-53.633960933717745,-11.430531,2.1095672
5921751099273298432,265.2002453460733,-53.68077519704237,19.923643,0.47536746
5921751344101329024,265.1735428978223,-53.625881733445766,30.520819,12.301564
5921753062087952128,265.2690020051548,-53.59623018592064,-57.114487,1.4748952
5921754539548946560,265.0993945661473,-53.61133221393684,21.430796,2.8866384
5921754986233453312,265.10963535139837,-53.57160251283892,26.9859,5.862483
5921757009141922688,265.1610967089681,-53.48722415098527,29.856483,1.417273
5921759002005352064,264.8307628205933,-53.695907357485915,19.950422,2.9022164
5921761514583135232,264.91379620920964,-53.5592865069973,1.3357303,15.039836
5921761544627396352,264.8790495577246,-53.58305697148415,21.696669,0.9287214
5921767866819250176,264.95410061392477,-53.52083922925935,29.125471,2.5708137
5921768077293762304,264.92177273344515,-53.480615389944695,-65.32813,1.2147999
5921769554762468096,264.94315648187364,-53.45127322003378,-22.99633,5.221359
5921370225877982464,265.04372940205457,-53.848425987652334,-90.152695,5.240296
5921702484550307328,265.4723362622658,-53.77905266038862,20.259596,2.1985419
5921703957706273152,265.542926889462,-53.704957872281504,-88.96155,5.53437
5921705645646023424,265.4579707977846,-53.5946658734869,27.909391,3.413594
5921727945117459712,265.59255420217846,-53.626643177194445,-57.18768,6.877658
5921728701031743488,265.56989484128803,-53.56476214852102,-73.69506,6.203338
