source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ruwe,p_pm,pm_method,r_proj_arcmin,p_spatial,p_cmd,membership_prob,is_member,dist_pc,dist_pc_err
6440138537905685376,287.503737949796,-60.66548744841313,0.2782933329495465,0.17435822,3.224288823603084,0.14091483,-8.683515848839933,0.13006361,18.321867,18.738796,17.62974,1.1090565,1.0015757,0.0,gmm2,41.35210954784873,0.03510096594149,4.9160447875337324e-09,0.0,False,,
6440138602329628544,287.50472131312,-60.643704690039705,-0.0118501055185091,0.21387704,0.3296968419779218,0.18615673,-7.384984278789687,0.19551684,18.92625,19.275972,18.429089,0.8468838,1.0280653,0.0,gmm2,40.05671493304267,0.0450877210266382,0.7338320867702309,0.0,False,,
6440139152085190400,287.7057903538634,-60.7398650947868,0.7555731864288017,0.18498506,4.4482320794380295,0.17391986,-9.20260157015803,0.16047567,18.724125,19.546448,17.674427,1.8720207,0.98176,0.0,gmm2,45.31717701643105,0.0138821574962692,8.192470773228235e-60,0.0,False,,
6440139667481304064,287.86337235636523,-60.69715740095804,0.4652104227928538,0.19599713,0.9936007331820936,0.1723467,-2.4474525675758825,0.17303832,18.722555,19.49857,17.876411,1.622158,1.0237323,0.0,gmm2,42.97826139523275,0.0248382408789144,3.3586393105781646e-34,0.0,False,,
6440119944991255296,287.676748450873,-60.87613214779351,0.1875038836710481,0.32654837,0.1297142828585167,0.25559023,-4.676068952815572,0.20681907,19.098122,19.524092,18.499249,1.0248432,1.0189904,0.0,gmm2,53.50563747293982,0.01,0.4766148933160922,0.0,False,,
6440120739561151744,287.64953758466385,-60.85981803539144,0.1093878291310242,0.12845466,1.597206715730408,0.109822616,-6.759161208341091,0.10115459,17.933784,18.261639,17.447645,0.81399345,0.983357,0.0,gmm2,52.552220045969264,0.01,0.3792154411661983,0.0,False,,
6440120872704214272,287.56972710423423,-60.86177747113033,-1.8305218645665888,0.70430666,3.69227085075578,0.7036941,-4.563427264827244,0.6217604,20.308956,20.75185,19.565722,1.1861286,0.96546084,0.0,gmm2,52.81619290590135,0.01,0.9903249944463977,0.0,False,,
6440120872704215040,287.55270292958915,-60.8615430936746,0.3212188489908083,0.38006637,0.7529489566462768,0.36327714,-7.0140798783070295,0.3208201,19.700212,20.510092,18.799067,1.7110252,1.0121781,0.0,gmm2,52.84743598706595,0.01,2.361945293148709e-09,0.0,False,,
6440123041661543680,287.8740195471779,-60.86040866638846,1.133602614457986,0.54250723,5.142202897411393,0.48072532,-17.396256745095233,0.49803862,20.054075,20.858557,19.06307,1.7954865,1.059372,0.0,gmm2,52.75915995904984,0.01,1.5769046378975177e-06,0.0,False,,
6440123484044714240,288.06785428373183,-60.85535851152233,0.7297827910188719,0.3503204,-6.142089942550146,0.35891065,0.1647007817423952,0.28168446,19.68017,21.138063,18.568768,2.569296,0.96061206,0.0,gmm2,53.29561153692166,0.01,5.9838416412708795e-49,0.0,False,,
6440123621483278848,287.9757111570588,-60.86031056285132,0.0714884585215478,0.14435133,-0.8348361838695406,0.1322705,-10.595521468310762,0.11904298,18.259747,18.697104,17.69368,1.0034237,1.03488,0.0,gmm2,53.11286259804084,0.01,8.352432688961693e-05,0.0,False,,
6440123625779102464,288.00117274247395,-60.85638210672924,0.3631116986423848,0.041919965,-8.182569740864729,0.03831377,3.810272840948392,0.033626158,15.676478,15.965699,15.228838,0.7368612,1.1563925,0.0,gmm2,52.997261942266256,0.01,9.228530362038982e-14,0.0,False,2753.9735121144163,317.93652936658026
